这是相当于剂量率为2.5e-3mGy/h的单能电子的注量率值，可用来单能电子已知注量率求剂量率
0.01 	2.00 
0.02 	3.30 
0.03 	4.60 
0.04 	5.70 
0.05 	6.70 
0.06 	7.60 
0.07 	8.50 
0.08 	9.30 
0.09 	10.10 
0.10 	10.70 
0.15 	13.70 
0.20 	15.80 
0.30 	18.80 
0.40 	20.60 
0.50 	21.80 
0.60 	22.50 
0.70 	23.00 
0.80 	23.40 
0.90 	23.60 
1.00 	23.70 
1.50 	23.80 
2.00 	23.40 
3.00 	22.90 
4	22.20 
5	21.70 
6	21.30 
7	21.10 
8.00 	20.70 
9.00 	21.00 
10.00 	20.30 
