1.0e03	280.300000 	280.200000 
1.5e03	90.510000 	90.390000 
2.0e03	39.770000 	39.670000 
3.0e03	12.11000 	12.030000 
4.0e03	5.129000 	5.066000 
5.0e03	2.618000 	2.565000 
6.0e03	1.507000 	1.460000 
8.0e03	0.633100 	0.595300 
1.0e04	0.327300 	0.294400 
1.5e04	0.107700 	0.080830 
2.0e04	0.056160 	0.032320 
3.0e04	0.030060 	0.009391 
4.0e04	0.023400 	0.004500 
5.0e04	0.020690 	0.003020 
6.0e04	0.019210 	0.002504 
8.0e04	0.017500 	0.002292 
1.0e05	0.016400 	0.002363 
1.5e05	0.014560 	0.002656 
2.0e05	0.013280 	0.002872 
3.0e05	0.011520 	0.003099 
4.0e05	0.010310 	0.003185 
5.0e05	0.009408 	0.003204 
6.0e05	0.008701 	0.003191 
8.0e05	0.007642 	0.003115 
1.0e06	0.006869 	0.003014 
1.5e06	0.005590 	0.002751 
2.0e06	0.004796 	0.002530 
3.0e06	0.003844 	0.002207 
4.0e06	0.003286 	0.001992 
5000000.000000 	0.002919 	0.001840 
6.0e06	0.002659 	0.001729 
8.0e06	0.002317 	0.001578 
1.0e07	0.002105 	0.001481 
1.5e07	0.001819 	0.001348 
2.0e07	0.001684 	0.001285 
