1.0e03	384.100000 	384.000000 
1.5e03	129.600000 	129.400000 
2.0e03	57.560000 	57.440000 
3.0e03	17.750000 	17.650000 
4.0e03	7.575000 	7.499000 
5.0e03	3.885000 	3.821000 
6.0e03	2.241000 	2.185000 
8.0e03	0.941400 	0.897800 
1.0e04	0.483500 	0.446400 
1.5e04	0.452700 	0.123500 
2.0e04	0.074850 	0.049420 
3.0e04	0.035680 	0.014040 
4.0e04	0.025950 	0.006339 
5.0e04	0.022160 	0.003922 
6.0e04	0.020210 	0.003016 
8.0e04	0.018110 	0.002517 
1.0e05	0.016870 	0.002495 
1.5e05	0.0148900 	0.002731 
2.0e05	0.013570 	0.002936 
3.0e05	0.011750 	0.003161 
4.0e05	0.010510 	0.003247 
5.0e05	0.009593 	0.003267 
6.0e05	0.008871 	0.003252 
8.0e05	0.007790 	0.003175 
1.0e06	0.007002 	0.003071 
1.5e06	0.005699 	0.002804 
2.0e06	0.004892 	0.002579 
3.0e06	0.003929 	0.002255 
4.0e06	0.003367 	0.002041 
5000000.000000 	0.002998 	0.001892 
6.0e06	0.002739 	0.001783 
8.0e06	0.002400 	0.001637 
1.0e07	0.002191 	0.001545 
1.5e07	0.001913 	0.001421 
2.0e07	0.001785 	0.001364 
