1.0e03	339.400000 	339.200000 
1.5e03	114.800000 	114.600000 
2.0e03	51.480000 	51.330000 
3.0e03	23.470000 	23.030000 
4.0e03	10.450000 	10.250000 
5.0e03	13.350000 	12.270000 
6.0e03	8.129000 	7.531000 
8.0e03	3.676000 	3.435000 
1.0e04	1.966000 	1.841000 
1.5e04	0.624300 	0.572600 
2.0e04	0.279700 	0.245000 
3.0e04	0.097240 	0.072900 
4.0e04	0.051680 	0.030880 
5.0e04	0.035040 	0.016250 
6.0e04	0.027410 	0.009988 
8.0e04	0.020830 	0.005309 
1.0e05	0.018000 	0.003838 
1.5e05	0.014900 	0.003032 
2.0e05	0.013320 	0.002994 
3.0e05	0.011410 	0.003095 
4.0e05	0.010180 	0.003151 
5.0e05	0.009274 	0.003159 
6.0e05	0.008570 	0.003140 
8.0e05	0.007520 	0.003061 
1.0e06	0.006758 	0.002959 
1.5e06	0.005501 	0.002700 
2.0e06	0.004732 	0.002487 
3.0e06	0.003826 	0.002191 
4.0e06	0.003307 	0.002002 
5000000.000000 	0.002970 	0.001874 
6.0e06	0.002738 	0.001784 
8.0e06	0.002440 	0.001667 
1.0e07	0.002263 	0.001598 
1.5e07	0.002040 	0.001508 
2.0e07	0.001948 	0.001474 
