1.0e03	3.617e02	3.616e02
1.5e03	1.202e02	1.201e02
2.0e03	5.303e01	5.291e01
3.0e03	1.617e01	1.608e01
4.0e03	7.751e00	7.597e00
5.0e03	3.994e00	3.896e00
6.0e03	2.312e00	2.242e00
8.0e03	9.721e-01	9.246e-01
1.0e04	5.016e-01	4.640e-01
1.5e04	1.581e-01	1.300e-01
2.0e04	7.643e-02	5.255e-02
3.0e04	3.501e-02	1.501e-02
4.0e04	2.471e-02	6.694e-03
5.0e04	2.073e-02	4.031e-03
6.0e04	1.871e-02	3.004e-03
8.0e04	1.661e-02	2.393e-03
1.0e05	1.541e-02	2.318e-03
1.5e05	1.365e-02	2.494e-03
2.0e05	1.234e-02	2.672e-03
3.0e05	1.068e-02	2.872e-03
4.0e05	9.548e-03	2.949e-03
5.0e05	8.712e-03	2.966e-03
6.0e05	8.056e-03	2.953e-03
8.0e05	7.075e-03	2.882e-03
1.0e06	6.359e-03	2.787e-03
1.5e06	5.176e-03	2.545e-03
2.0e06	4.447e-03	2.342e-03
3.0e06	3.581e-03	2.054e-03
4.0e06	3.079e-03	1.866e-03
5000000.000000 	2.751e-03	1.737e-03
6.0e06	2.523e-03	1.644e-03
8.0e06	2.225e-03	1.521e-03
1.0e07	2.045e-03	1.446e-03
1.5e07	1.810e-03	1.340e-03
2.0e07	1.705e-03	1.308e-03
