1.0e03	4.091e02	4.089e02
1.5e03	1.390e02	1.388e02
2.0e03	6.187e01	6.175e01
3.0e03	1.913e01	1.903e01
4.0e03	8.174e00	8.094e00
5.0e03	4.196e00	4.129e00
6.0e03	2.421e00	2.363e00
8.0e03	1.018e00	9.726e-01
1.0e04	5.223e-01	4.840e-01
1.5e04	1.639e-01	1.340e-01
2.0e04	7.958e-02	5.367e-02
3.0e04	3.718e-02	1.520e-02
4.0e04	2.668e-02	6.803e-03
5.0e04	2.262e-02	4.155e-03
6.0e04	2.055e-02	3.152e-03
8.0e04	1.835e-02	2.583e-03
1.0e05	1.707e-02	2.539e-03
1.5e05	1.504e-02	2.762e-03
2.0e05	1.370e-02	2.966e-03
3.0e05	1.187e-02	3.192e-03
4.0e05	1.061e-02	3.279e-03
5.0e05	9.687e-03	3.299e-03
6.0e05	8.957e-03	3.284e-03
8.0e05	7.866e-03	3.205e-03
1.0e06	7.070e-03	3.100e-03
1.5e06	5.755e-03	2.831e-03
2.0e06	4.940e-03	2.604e-03
3.0e06	3.969e-03	2.278e-03
4.0e06	3.403e-03	2.063e-03
5000000.000000 	3.031e-03	1.913e-03
6.0e06	2.771e-03	1.804e-03
8.0e06	2.429e-03	1.657e-03
1.0e07	2.219e-03	1.566e-03
1.5e07	1.941e-03	1.442e-03
2.0e07	1.813e-03	1.386e-03
